,nombre,tipo,latitud_y,longitud_x,fuente
0,Amazing Luxurious Apt-Palermo Soho,Entire home/apt,-34.58184,-58.42415,Airbnb
1,Room in Recoleta - awesome location,Private room,-34.597609999999996,-58.39468000000001,Airbnb
2,Standard Room at Palermo Viejo B&B w pvt Bath,Private room,-34.59348,-58.42949,Airbnb
3,Standard Room in Palermo Viejo B&B,Private room,-34.59348,-58.42949,Airbnb
4,Standard Room at Palermo Viejo B&B pvt bath,Private room,-34.59348,-58.42949,Airbnb
5,Lofty room in Palermo Viejo B&B pvt bath,Private room,-34.593270000000004,-58.42953000000001,Airbnb
6,Master Room in Palermo Viejo B&B w  pvt Bath,Private room,-34.59348,-58.42949,Airbnb
7,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",Entire home/apt,-34.58777,-58.41106,Airbnb
8,SPECTACULAR ANCIENT HOUSE,Entire home/apt,-34.60913,-58.37372,Airbnb
9,ROOM WITH RIVER SIGHT,Private room,-34.537240000000004,-58.4658,Airbnb
10,ROOM W /BALCONY-DOWNTOWN ......,Private room,-34.6029,-58.4114,Airbnb
11,DUPLEX LOFT 2 - SAN TELMO,Entire home/apt,-34.61439,-58.37611,Airbnb
12,Duplex Loft en Microcentro Porteño,Entire home/apt,-34.614940000000004,-58.37517,Airbnb
13,Small Duplex Loft in San Telmo (8),Entire home/apt,-34.614940000000004,-58.37517,Airbnb
14,A terrace in Buenos Aires,Private room,-34.55811,-58.46462,Airbnb
15,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,Entire home/apt,-34.60175,-58.3786,Airbnb
16,apartament in San Telmo,Entire home/apt,-34.6154,-58.3778,Airbnb
17,"Quirky, sunny & spacious - 5 px max",Entire home/apt,-34.619859999999996,-58.36946999999999,Airbnb
18,SKY LOFT LARGE,Entire home/apt,-34.58822,-58.434419999999996,Airbnb
19,PENTHOUSE / best city views !! terrace & pool,Entire home/apt,-34.58183,-58.441430000000004,Airbnb
20,Hermoso  y acogedor departamento.,Entire home/apt,-34.62108,-58.38677,Airbnb
21,Comfortable apartment in San Telmo,Entire home/apt,-34.62225,-58.37239,Airbnb
22,Apartment at Faena Hotel,Entire home/apt,-34.61407,-58.361869999999996,Airbnb
23,Comfortable studio in Callao Avenue,Entire home/apt,-34.60807,-58.372240000000005,Airbnb
24,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",Entire home/apt,-34.61495,-58.37319,Airbnb
25,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",Entire home/apt,-34.602540000000005,-58.37811,Airbnb
26,Amazing LOFTpalermo: contemporary and cool,Entire home/apt,-34.58681,-58.444759999999995,Airbnb
27,Huge 473sqf Studio @ Palermo University area,Entire home/apt,-34.5991,-58.41053,Airbnb
28,Studio in retiro neighborhood,Entire home/apt,-34.59395,-58.379380000000005,Airbnb
29,Modern & comfortable apartment at best location,Entire home/apt,-34.58095,-58.40461,Airbnb
30,Apartment for rent in Recoleta,Entire home/apt,-34.591,-58.390390000000004,Airbnb
31,One bedroom Apt on corner Corrientes and Araoz.,Entire home/apt,-34.6003,-58.43739,Airbnb
32,Depto de 1 ambiente en Recoleta,Entire home/apt,-34.59925,-58.3908,Airbnb
33,BEAUTY DUPLEX LOFT #4 SAN TELMO,Entire home/apt,-34.614940000000004,-58.37517,Airbnb
34,Beautifull apartment in Belgrano!,Entire home/apt,-34.56483,-58.46014,Airbnb
35,Charming studio in Palermo/Recoleta,Entire home/apt,-34.591029999999996,-58.40781,Airbnb
36,Palermo/Las Cañitas Apartment,Entire home/apt,-34.57148,-58.43246,Airbnb
37,PALERMO SOHO  CASA 4 HABITACIONES 3 BAÑOS,Entire home/apt,-34.589859999999994,-58.425180000000005,Airbnb
38,"HABITACION EN SUITE   ,  4 DISPONIBLES",Private room,-34.58983,-58.42531999999999,Airbnb
39,Palermo Soho Spectacular New Unit,Entire home/apt,-34.58576,-58.42803000000001,Airbnb
40,French Classic in San Telmo: Balcony over Defensa!,Entire home/apt,-34.61578,-58.37175,Airbnb
41,"Quite & Chic, fully equipped, 2Bd, pool & terrace",Entire home/apt,-34.58182,-58.44144,Airbnb
42,Recoleta Classic French-Style 2BDR,Entire home/apt,-34.58705,-58.38791,Airbnb
43,French style apartment in Recoleta,Entire home/apt,-34.58543,-58.39637,Airbnb
44,Elegant apartment in downtown Bs.As,Entire home/apt,-34.594559999999994,-58.37503,Airbnb
45,Grate & Luxury apartment Recoleta,Private room,-34.58722,-58.39676,Airbnb
46,Complete room in Recoleta,Private room,-34.58854,-58.41,Airbnb
47,Gorgeous 2bdrm in Awesome Recoleta,Entire home/apt,-34.58978,-58.40011,Airbnb
48,Little & beautifull Recoleta apt.,Entire home/apt,-34.59544,-58.393190000000004,Airbnb
49,San Telmo Apartment (Buenos Aires),Entire home/apt,-34.60886,-58.373490000000004,Airbnb
