OID_;Join_Count;TARGET_FID;osm_id;code;name;POINT_X;POINT_Y;FID_departamento;gid;departamento_nombre;departamento_id;FID_provincia;provincia_nombre;provincia_id
1;1;1;26150349;2401;Hotel Casino;-6405545,643;-4580017,979;38;27;General Pueyrredón;6357;19;Buenos Aires;6
2;1;2;26150351;2401;Hotel Provincial;-6405448,49;-4580311,21;38;27;General Pueyrredón;6357;19;Buenos Aires;6
4;1;4;27999700;2401;Gran Meliá Iguazú;-6060817,73;-2959494,744;26;478;Iguazú;54063;21;Misiones;54
5;1;5;28088601;2401; ;-6074098,361;-2950109,091;26;478;Iguazú;54063;21;Misiones;54
7;1;7;50811444;2401;El Paso;-6568107,675;-4085016,322;311;282;Pilar;6638;19;Buenos Aires;6
8;1;8;50811445;2401;El Paso;-6568053,065;-4084967,469;311;282;Pilar;6638;19;Buenos Aires;6
9;1;9;50811632;2401;Camberland;-6568175,294;-4084351,431;311;282;Pilar;6638;19;Buenos Aires;6
10;1;10;53638705;2401;Hotel Hilton Buenos Aires;-6497014,371;-4110457,475;135;123;Comuna 1;2007;1;Ciudad Autónoma de Buenos Aires;2
11;1;11;55532825;2401;Rincón de los Andes;-7943821,939;-4888857,124;147;190;Lácar;58056;2;Neuquén;58
12;1;12;61920011;2401;Four Seasons;-6499119,099;-4108392,052;135;123;Comuna 1;2007;1;Ciudad Autónoma de Buenos Aires;2
13;1;13;68277197;2401;Hotel Sheraton Córdoba;-7147000,579;-3686546,993;118;221;Capital;14014;13;Córdoba;14
14;1;14;93508933;2401;Hotel Malargüe Inn & Suites;-7746387,898;-4225926,093;199;232;Malargüe;50077;12;Mendoza;50
15;1;15;96332657;2401;Hotel Dr. César Carman;-7143456,363;-3688434,726;118;221;Capital;14014;13;Córdoba;14
16;1;16;109337599;2401;Llao Llao Hotel & Resort, Golf - Spa;-7962818,824;-5020863,489;233;236;Bariloche;62021;18;Río Negro;62
17;1;17;109860476;2401;Howard Jhonson;-7163233,536;-3910170,233;102;95;Río Cuarto;14098;13;Córdoba;14
18;1;18;114332897;2401;Hotel Covadonga;-6566055,602;-3179896,087;498;488;San Fernando;22140;8;Chaco;22
19;1;19;114332905;2401;Niyat Urban Hotel;-6566155,618;-3179908,406;498;488;San Fernando;22140;8;Chaco;22
20;1;20;117011829;2401;La Posta del Pilar;-6566739,918;-4087032,617;311;282;Pilar;6638;19;Buenos Aires;6
21;1;21;117110964;2401;Tucuman Center;-7258516,487;-3101976,616;438;421;Capital;90084;7;Tucumán;90
22;1;22;117111083;2401; ;-7258084,665;-3102769,214;438;421;Capital;90084;7;Tucumán;90
23;1;23;117111084;2401;Presidente;-7257916,163;-3102075,546;438;421;Capital;90084;7;Tucumán;90
24;1;24;119269372;2401;Hostería del Sol;-6525566,144;-3160514,456;436;383;Bermejo;22014;8;Chaco;22
25;1;25;123417772;2401;Hotel Faena;-6496798,458;-4111557,35;135;123;Comuna 1;2007;1;Ciudad Autónoma de Buenos Aires;2
26;1;26;125569656;2401;Hotel Colonial San Nicolás;-6698958,609;-3944393,611;377;335;San Nicolás;6763;19;Buenos Aires;6
28;1;28;139421051;2401;Hotel Amancay;-7962371,955;-5019802,974;233;236;Bariloche;62021;18;Río Negro;62
29;1;29;144807316;2401;Hotel Mayorazgo;-6738203,682;-3726606,772;17;8;Paraná;30084;14;Entre Ríos;30
30;1;30;145176918;2401;Hotel Casino Gala;-6566846,587;-3179790,727;498;488;San Fernando;22140;8;Chaco;22
31;1;31;145218996;2401;Hostel Hispania;-7173539,277;-3717987,362;51;87;Santa María;14147;13;Córdoba;14
32;1;32;146302447;2401; ;-6624426,147;-4352122,894;363;316;Azul;6049;19;Buenos Aires;6
